"","store","year","dry_grocery","dairy","frozen_food","meat","produce","floral","deli","bakery","general_merchandise","total","cluster","total_sales"
"182","S0046",2015,42.2679612081602,10.3366194622291,7.84875796528798,10.8112524646545,11.8238009521811,1.04941636196658,3.80019093495265,2.85945197699721,9.20254867357074,100,3,42308785.73
"186","S0047",2015,44.6383981150277,9.66609158540594,8.08216528976849,10.6606535906256,10.1860553637284,0.844641727232134,3.83132949637205,2.07650313417022,10.0141616976695,100,1,45096641.3
"190","S0048",2015,44.1344862034642,9.86476347549022,8.17377768463486,10.2411904927104,9.89170133531055,0.952763570503459,3.84805228304727,2.65848122085997,10.2347837339791,100,1,34784203.58
"194","S0049",2015,44.5450279408401,10.7740784555785,9.00471495836314,9.43182933367077,11.159860669927,1.02717244406116,4.17980182682332,3.10461067416831,6.77290369656766,100,3,22498605.89
"197","S0050",2015,43.0251781685122,10.4800187512876,8.31692187221536,9.75482579343417,14.5262719851281,1.489087611272,3.7216703521098,2.09718604729529,6.58883941874548,100,3,43939211.84
"201","S0051",2015,45.915595115415,10.5193362772419,8.4619240496891,8.89227669280371,12.1059700405214,0.838761000574188,3.86572472981898,3.17263130311539,6.2277807908203,100,3,32361272.14
"205","S0052",2015,42.3648730145093,9.45074675055558,7.27937486643402,10.9317027738449,14.1252938523342,1.5626181784306,4.22976874668857,2.45384770320008,7.60177411400278,100,3,46987873.31
"209","S0053",2015,47.1931519590718,10.1319757491926,7.48830791260264,12.0258569681129,8.88553208185318,0.651293487630961,4.68527226059086,2.78547982979155,6.1531297511535,100,2,30897555.99
"213","S0054",2015,44.489058000064,10.4248228274346,8.23056195246152,10.8817775622067,11.4629617277002,0.809137419036225,4.37241756951776,2.99659380273645,6.33266913884253,100,3,38270311.41
"217","S0055",2015,48.940475468914,9.57888507444976,8.13549067761402,9.86352513350622,11.2819490129344,0.578686267578153,3.75774323792552,1.63906663737637,6.22417848970158,100,1,39002676
"221","S0056",2015,47.6389545840005,11.6872379787865,8.63992523335724,8.74318167126419,11.7922298124618,0.810746892419902,2.71587012516662,2.24773986156937,5.72411384097397,100,3,21812315.49
"224","S0057",2015,43.8123584658401,9.72176286267777,7.53291363880105,14.7446426602225,10.7270417986222,0.586651266276384,4.95360540449049,1.77073661779553,6.15028728527403,100,2,33446355.83
"228","S0058",2015,46.467844356606,10.0374796990454,7.98608513999959,10.2635716958296,10.0386803652111,0.832341631602716,4.7751769631373,2.98228317250811,6.61653697606014,100,2,28866475.12
"232","S0059",2015,42.9946589188248,9.68411994970684,7.24978148970847,11.7434050840147,12.0424609737514,0.738619279021858,4.3466977756084,2.86158137566981,8.33867515369375,100,2,28986872.68
"236","S0060",2015,44.9699938432131,10.1905171064989,8.23474339816871,11.4625223408495,10.0789221408974,1.05073691634687,4.16234145805386,2.58691995184462,7.26330284412707,100,2,34886833.64
"240","S0061",2015,46.0529927808281,10.6175563121284,7.36530582724902,11.7167008720308,10.30184504619,0.58272762899642,4.93621826189885,2.9587267001927,5.46792657048564,100,2,42022570.72
"244","S0062",2015,46.9906881107819,9.88776584124481,7.97719453361514,9.37253238443131,11.0606737481433,0.579967043898272,4.07674741570116,2.14805262351833,7.90637829866578,100,1,26064799.99
"248","S0063",2015,41.8792380099669,11.3887245057729,8.49979738168095,10.5673383313026,13.5424193976403,0.929907024481674,2.99335161934392,2.9131482218803,7.28607550793049,100,3,20844141.93
"252","S0064",2015,43.6474623803478,10.7324741525072,7.13348365394959,11.4659174554388,12.2795979354332,0.957445158460925,3.96620873175846,4.38171055786746,5.43569997423656,100,3,22854243.72
"256","S0065",2015,41.9621852861739,10.6998379664367,7.33014741420796,11.2588674936775,12.2427970212751,1.15740419065286,3.86386114528408,3.0976331335406,8.38726634875138,100,3,34670181.19
